,name,x,y,z
0,Девяткино,2742.158249409188,1611.585151145275,5520.23572284782
1,Гражданский проспект,2744.1200114269664,1611.1391217146418,5519.39100747235
2,Академическая,2746.5848328296493,1611.1568461269587,5518.159690807104
3,Политехническая,2747.612487650352,1610.1398498106487,5517.944932831388
4,Площадь Мужества,2748.5031941251123,1610.3558507879068,5517.438284722106
5,Лесная,2750.3551114432744,1610.0290713654867,5516.610748486414
6,Выборгская,2751.4316265594825,1610.8622985509305,5515.830640934822
7,Площадь Ленина,2752.46067807034,1612.0222794441731,5514.978276136015
8,Чернышевская,2753.272096977012,1612.7472005731443,5514.361270995154
9,Площадь Восстания,2754.4231103829784,1613.4956687323672,5513.567452745096
10,Владимирская,2755.014089969798,1612.9913368353234,5513.419747430998
11,Пушкинская,2756.1086554659328,1612.4504290723903,5513.030898974722
12,Технологический институт,2756.7650781969373,1612.1167698170257,5512.800270652706
13,Балтийская,2758.0695376818003,1611.6584585999237,5512.28178145267
14,Нарвская,2759.2611395630825,1610.7614290444114,5511.947621521801
15,Кировский завод,2761.4149557708497,1611.1796431038285,5510.746646298748
16,Автово,2762.458366052873,1611.7506908024482,5510.056668177045
17,Ленинский проспект,2763.604904509727,1612.8681687539633,5509.154672178847
18,Проспект Ветеранов,2764.8551183232344,1612.4538731514003,5508.6486257194565
19,Парнас,2743.8271467100967,1605.5377407507715,5521.168549501242
20,Проспект Просвещения,2745.155317841174,1606.2316247373426,5520.306445173308
21,Озерки,2746.659051574083,1606.4005550026063,5519.509245512093
22,Удельная,2748.520507460354,1607.1101956069153,5518.375924060101
23,Пионерская,2750.2306476525814,1606.8963464048002,5517.586113204158
24,Чёрная речка,2751.5323753840926,1607.9193635824406,5516.639004632242
25,Петроградская,2752.823421551902,1609.348066095887,5515.5782119292535
26,Горьковская,2753.4639712339977,1610.2124487767721,5515.006167623081
27,Невский проспект,2754.9534576769856,1611.6102040338199,5513.85391502964
28,Сенная площадь,2755.8312103983126,1611.6888445456493,5513.392277732619
29,Технологический институт 2,2756.7650781969373,1612.1167698170257,5512.800270652706
30,Фрунзенская,2757.6445873782836,1612.564245092097,5512.22948407936
31,Московские ворота,2758.835561172874,1613.288013222896,5511.421697964988
32,Электросила,2759.859537358287,1613.9376128208585,5510.718802114168
33,Парк Победы,2760.837361566429,1614.7126805229248,5510.001907652791
34,Московская,2762.296535392347,1615.5454578234362,5509.026386237908
35,Звёздная,2762.805202548752,1617.6519043967505,5508.153114154609
36,Купчино,2762.350071956091,1619.0868644163263,5507.959767957523
37,Беговая,2754.141023084559,1603.1073057503231,5516.737730870725
38,Новокрестовская,2755.183159677676,1604.308180113797,5515.868201819954
39,Приморская,2756.464735635887,1606.521637712316,5514.583519066324
40,Василеостровская,2755.7303071101537,1608.9160318306688,5514.252503920439
41,Гостиный двор,2754.898196539295,1611.9882245313606,5513.771022691891
42,Маяковская,2754.5137351822746,1613.1339718543234,5513.628013526274
43,Площадь Александра Невского 1,2754.239852165859,1614.9331060153172,5513.238150110797
44,Елизаровская,2755.4456918178075,1618.1400063498854,5511.695107613688
45,Ломоносовская,2756.540022855247,1619.9513305249127,5510.615735934393
46,Пролетарская,2756.737712098738,1621.916053824923,5509.938883602758
47,Обухово,2758.460253223256,1622.1181302034881,5509.017226606996
48,Рыбацкое,2758.695593001486,1625.0775437994116,5508.027106123666
49,Спасская,2755.8312103983126,1611.6888445456493,5513.392277732619
50,Достоевская,2755.0163802662746,1612.8720054252178,5513.4535128701455
51,Лиговский проспект,2755.3786184395917,1613.666955449752,5513.039871607629
52,Площадь Александра Невского 2,2754.3509513957147,1614.896957558951,5513.193235595172
53,Новочеркасская,2753.088669254082,1615.9972128745112,5513.501318328182
54,Ладожская,2752.039766705669,1617.1489046651457,5513.687290970619
55,Проспект Большевиков,2752.3081263895097,1619.083152613851,5512.985645032305
56,Улица Дыбенко,2752.8701073015527,1620.4845310158619,5512.293266605456
57,Комендантский проспект,2750.7907193339033,1604.771149228619,5517.925423293606
58,Старая Деревня,2752.482308689085,1605.5326418433017,5516.860255283731
59,Крестовский остров,2753.8271966890375,1606.5923837407815,5515.8804993656195
60,Чкаловская,2753.8101939619514,1608.681377913617,5515.280105306092
61,Спортивная,2754.5775554567585,1609.0865701302296,5514.778681035205
62,Адмиралтейская,2755.248875189886,1611.0200677933121,5513.878759723694
63,Садовая,2755.9361973589575,1611.584802517407,5513.370212527141
64,Звенигородская,2756.1086554659328,1612.4504290723903,5513.030898974722
65,Обводный Канал,2756.0816473697455,1613.6326418650474,5512.698490770133
66,Волковская,2757.366462186106,1614.9917333006342,5511.657907978496
67,Бухарестская,2758.062287452429,1616.1358634222397,5510.974350284451
68,Международная,2758.895708043091,1617.2942360809177,5510.217312055927
69,Дунайская,2760.5234446403406,1620.2804034765627,5508.524550703288
70,Проспект Славы,2817.4394729060546,1642.021359313583,5473.156463327979
71,Шушары,2793.7986778841564,1629.6742549853282,5488.942682347007
