,name,x,y,z
0,Горьковская,2542.098878855856,2454.4322387743346,5301.239164137475
1,Московская,2543.7206418000846,2451.7963602071823,5301.680950845211
2,Чкаловская,2544.7969381579965,2452.0742533126513,5301.035879880732
3,Ленинская,2545.6353545042257,2452.915965078571,5300.243853839256
4,Заречная,2546.897880019375,2453.292545509175,5299.462979859556
5,Двигатель Революции,2547.670395787599,2453.563869980064,5298.966020871989
6,Пролетарская,2548.68493574192,2453.866333107468,5298.3380524051045
7,Автозаводская,2549.834520874391,2453.9626263684886,5297.7403055023315
8,Комсомольская,2550.673754076139,2453.7013048769345,5297.457343548163
9,Кировская,2551.5866033695124,2453.450518143529,5297.133881687953
10,Парк Культуры,2552.7406187936954,2452.9692805740347,5296.800736456006
11,Стрелка ,2542.2462368330944,2451.5653320598035,5302.494931063157
12,Московская 2,2543.7206418000846,2451.7963602071823,5301.680950845211
13,Канавинская,2544.5611272916244,2451.0339691556023,5301.630140958695
14,Бурнаковская,2544.86381464148,2449.9951430181854,5301.9650097030735
15,Буревестник,2545.1381340402177,2448.6251261583175,5302.46620641758
